model,RSE,RAE
TCN only,0.9959269165992737,0.6529300808906555
TCN+GCN predefined bi,0.9910460114479065,0.654232919216156
TCN+GCN predefined uni,0.9728118181228638,0.638987123966217
TCN+GCN adaptive,0.9996533393859863,0.6605764031410217
TCN+external,0.9309403896331787,0.5949162840843201
TCN+GCN bi+external,0.9940752983093262,0.655249834060669
TCN+GCN uni+external,0.9960574507713318,0.6551967263221741
TCN+GCN adaptive+external,0.9771343469619751,0.6444810032844543
LinearRegression (proxy VAR/LSTM),0.015313999727368355,0.01606287993490696
Mean predictor (naive),0.16222625970840454,0.11324091255664825
