threat,pat,gap_2026,gap_2027,category,gap_magnitude_2027
Vulnerability,VM,0.49653943434591846,0.46103519442522795,ONG,0.46103519442522795
Vulnerability,VS,0.45094892268497466,0.44249544628934107,ONG,0.44249544628934107
DDoS,TS,0.46695657069098107,0.4341530873283906,ONG,0.4341530873283906
Vulnerability,NLP/LLM,0.4344290116749859,0.43200352276656107,ONG,0.43200352276656107
DDoS,NLP/LLM,0.4337802090477165,0.43080007091319755,ONG,0.43080007091319755
Password Attack,NLP/LLM,0.43367656139382166,0.43037243857884144,ONG,0.43037243857884144
Disinformation,SI,-0.4289273356007046,-0.42890199600073503,ONG,0.42890199600073503
Targeted Attack,LP,-0.4457077905249925,-0.4281155473149261,ONG,0.4281155473149261
Cryptojacking,BT,-0.43797815230539566,-0.4272824353414133,ONG,0.4272824353414133
Disinformation,DP,-0.42745797542786335,-0.4269143265118542,ONG,0.4269143265118542
Targeted Attack,DT,-0.44417644132226364,-0.42629526122921985,ONG,0.42629526122921985
Disinformation,DT,-0.42665534297603935,-0.42600387453566696,ONG,0.42600387453566696
Disinformation,DLT,-0.42368326659776834,-0.4256856583983057,ONG,0.4256856583983057
Targeted Attack,PT,-0.44314132865683575,-0.42530815894840646,ONG,0.42530815894840646
Targeted Attack,NS,-0.43786208537976296,-0.4251498305793266,ONG,0.4251498305793266
Disinformation,HG,-0.4257537175573293,-0.4250823174086568,ONG,0.4250823174086568
Targeted Attack,AC,-0.44240471210046506,-0.4244589973735771,ONG,0.4244589973735771
Targeted Attack,RA,-0.4422721802919455,-0.4242326263872947,ONG,0.4242326263872947
Targeted Attack,MFA,-0.4404846810927667,-0.42407781100462955,ONG,0.42407781100462955
Targeted Attack,DRM,-0.44352777174611324,-0.4237859324813072,ONG,0.4237859324813072
Disinformation,BC,-0.4244594483083064,-0.4236023765094355,ONG,0.4236023765094355
Cryptojacking,PT,-0.4344445943208979,-0.4231512814680496,ONG,0.4231512814680496
Deepfake,DW,-0.4310511049721729,-0.4223776205680396,ONG,0.4223776205680396
Disinformation,IR,-0.4230906107561291,-0.42210849773265124,ONG,0.42210849773265124
Targeted Attack,GT,-0.4389689027994309,-0.41997106715817156,ONG,0.41997106715817156
Disinformation,GT,-0.4214478044532066,-0.4196796804646188,ONG,0.4196796804646188
Disinformation,CA,-0.4207688012766975,-0.41940418923378414,ONG,0.41940418923378414
Deepfake,BO,-0.4278915971778253,-0.41887260465862747,ONG,0.41887260465862747
Deepfake,LD,-0.4277423407490686,-0.41858855694086494,ONG,0.41858855694086494
Deepfake,AD,-0.4261072938123768,-0.41705592014599513,ONG,0.41705592014599513
Vulnerability,VA,0.4000871579283389,0.41519988558541093,ONG,0.41519988558541093
Adversarial Attack,OD,-0.4212018109994637,-0.4061387170829723,ONG,0.4061387170829723
Adversarial Attack,DP,-0.4208593242011015,-0.40608270343073904,ONG,0.40608270343073904
Adversarial Attack,DR,-0.420176058198961,-0.4054843312049989,ONG,0.4054843312049989
Adversarial Attack,DA,-0.4194298840693603,-0.4046532785753884,ONG,0.4046532785753884
Adversarial Attack,NI,-0.4174149632664227,-0.40234891739474216,ONG,0.40234891739474216
Adversarial Attack,DD,-0.4174946037715317,-0.4020625682699954,ONG,0.4020625682699954
Adversarial Attack,DS,-0.41654486329825346,-0.4011471856093107,ONG,0.4011471856093107
Adversarial Attack,AD,-0.4157198787449231,-0.40036166369459547,ONG,0.40036166369459547
Adversarial Attack,BN,-0.4157737543616229,-0.40009816424217054,ONG,0.40009816424217054
Adversarial Attack,RRAM,-0.41727087322798045,-0.4000132850416876,ONG,0.4000132850416876
Vulnerability,IDS/IPS,0.4391152438338771,0.39591872484017837,ONG,0.39591872484017837
MITM,SSL/TLS,0.4317943132330793,0.39521095671045314,ONG,0.39521095671045314
DDoS,IDS/IPS,0.4384664412066078,0.39471527298681486,ONG,0.39471527298681486
Password Attack,IDS/IPS,0.43836279355271296,0.3942876406524587,ONG,0.3942876406524587
Zero-day,DT,-0.38796951357348225,-0.3936529389857963,ONG,0.3936529389857963
Zero-day,PrP,-0.38600028169399075,-0.39076046858217506,ONG,0.39076046858217506
Zero-day,AD,-0.38363270056912796,-0.3888423512258398,ONG,0.3888423512258398
Zero-day,GT,-0.38276197505064957,-0.387328744914748,ONG,0.387328744914748
Zero-day,FIM,-0.38271622063441435,-0.38542533845360644,ONG,0.38542533845360644
Vulnerability,SIEM,0.44535573918805504,0.3853755154578651,ONG,0.3853755154578651
MITM,VPN,0.3788182503160138,0.36952211297495013,ONG,0.36952211297495013
IoT Device Attack,IDS/IPS,0.3961029049054533,0.3660957085548476,ONG,0.3660957085548476
Supply Chain Attack,CR,-0.3704297119912512,-0.3605383452190934,ONG,0.3605383452190934
Supply Chain Attack,PT,-0.3695898435269426,-0.35953713198045606,ONG,0.35953713198045606
Supply Chain Attack,AC,-0.3688532269705718,-0.3586879704056267,ONG,0.3586879704056267
IoT Device Attack,IdM,0.4255168289051905,0.35859843778408157,ONG,0.35859843778408157
